rank,fandom,loyalty,spillover,sum,dominant_raw_factor,dominant_F,quadrant,frozen_rank,frozen_loyalty,frozen_spillover
1,BTS,0.972,1.0,1.972,현장경제형(콘서트·투어·매진),F3,핵심전략형,1,0.931,1.0
2,TWICE,0.947,0.821,1.768,현장경제형(콘서트·투어·매진),F3,핵심전략형,2,0.944,0.846
3,임영웅,0.95,0.517,1.467,현장경제형(콘서트·투어·매진),F3,핵심전략형,3,0.899,0.702
4,BLACKPINK,0.674,0.752,1.426,현장경제형(콘서트·투어·매진),F3,핵심전략형,5,0.747,0.708
5,NCT,0.832,0.498,1.33,현장경제형(콘서트·투어·매진),F3,핵심전략형,8,0.706,0.479
6,Stray Kids,0.707,0.591,1.298,현장경제형(콘서트·투어·매진),F3,핵심전략형,4,0.805,0.702
7,SEVENTEEN,0.88,0.397,1.277,현장경제형(콘서트·투어·매진),F3,핵심전략형,6,1.0,0.393
8,god,1.0,0.171,1.171,현장경제형(콘서트·투어·매진),F3,내부결속형,37,0.602,0.112
9,aespa,0.574,0.564,1.138,현장경제형(콘서트·투어·매진),F3,핵심전략형,10,0.578,0.545
10,지드래곤 (G-Dragon),0.596,0.537,1.133,현장경제형(콘서트·투어·매진),F3,핵심전략형,7,0.558,0.733
11,CORTIS,0.56,0.456,1.016,현장경제형(콘서트·투어·매진),F3,핵심전략형,9,0.528,0.626
12,아이유,0.591,0.421,1.012,미디어노출형(방송·조회수),F4,핵심전략형,15,0.64,0.356
13,EXO,0.561,0.388,0.949,현장경제형(콘서트·투어·매진),F3,핵심전략형,21,0.486,0.411
14,NewJeans,0.385,0.547,0.932,현장경제형(콘서트·투어·매진),F3,핵심전략형,11,0.428,0.592
15,싸이,0.354,0.556,0.91,현장경제형(콘서트·투어·매진),F3,외부견인형,16,0.464,0.531
16,ATEEZ,0.513,0.396,0.909,현장경제형(콘서트·투어·매진),F3,핵심전략형,13,0.526,0.473
17,RIIZE,0.591,0.298,0.889,현장경제형(콘서트·투어·매진),F3,핵심전략형,12,0.634,0.376
18,워너원,0.472,0.393,0.865,현장경제형(콘서트·투어·매진),F3,핵심전략형,18,0.535,0.397
19,소녀시대,0.327,0.536,0.863,현장경제형(콘서트·투어·매진),F3,외부견인형,39,0.323,0.375
20,HOT,0.551,0.31,0.861,현장경제형(콘서트·투어·매진),F3,핵심전략형,67,0.315,0.212
21,BABYMONSTER,0.574,0.276,0.85,현장경제형(콘서트·투어·매진),F3,핵심전략형,26,0.597,0.255
22,(여자)아이들,0.451,0.385,0.836,현장경제형(콘서트·투어·매진),F3,핵심전략형,25,0.405,0.447
23,박서진,0.538,0.297,0.835,미디어노출형(방송·조회수),F4,핵심전략형,41,0.416,0.239
24,LE SSERAFIM,0.357,0.47,0.827,현장경제형(콘서트·투어·매진),F3,외부견인형,19,0.393,0.534
25,GOT7,0.476,0.349,0.825,현장경제형(콘서트·투어·매진),F3,핵심전략형,17,0.537,0.429
26,레드벨벳,0.56,0.264,0.824,현장경제형(콘서트·투어·매진),F3,내부결속형,14,0.706,0.292
27,DAY6,0.622,0.174,0.796,현장경제형(콘서트·투어·매진),F3,내부결속형,22,0.642,0.254
28,영탁,0.48,0.28,0.76,현장경제형(콘서트·투어·매진),F3,핵심전략형,24,0.54,0.319
29,몬스타엑스,0.563,0.183,0.746,현장경제형(콘서트·투어·매진),F3,내부결속형,,,
30,이찬원,0.419,0.322,0.741,미디어노출형(방송·조회수),F4,핵심전략형,38,0.374,0.333
31,정동원,0.501,0.201,0.702,현장경제형(콘서트·투어·매진),F3,내부결속형,43,0.421,0.228
32,투어스(TWS),0.337,0.365,0.702,현장경제형(콘서트·투어·매진),F3,외부견인형,,,
33,IKON,0.579,0.116,0.695,현장경제형(콘서트·투어·매진),F3,내부결속형,29,0.599,0.193
34,아이오아이,0.535,0.149,0.684,미디어노출형(방송·조회수),F4,내부결속형,34,0.605,0.122
35,이영지,0.411,0.269,0.68,현장경제형(콘서트·투어·매진),F3,핵심전략형,20,0.492,0.41
36,박효신,0.49,0.185,0.675,현장경제형(콘서트·투어·매진),F3,내부결속형,94,0.164,0.0
37,아일릿,0.33,0.337,0.667,현장경제형(콘서트·투어·매진),F3,외부견인형,23,0.478,0.404
38,이효리,0.006,0.654,0.66,미디어노출형(방송·조회수),F4,외부견인형,68,0.0,0.521
